rowid,reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel,time
1,,,8300238_ds,,,,,,,2022-09-08,,,587045.920647714,6138705.94560761,,,13:29:27
2,,,,,,,,,,2022-09-09,,,860692.245010236,1159176.95238305,,,15:14:27
3,,,8301994_ds,,,,,,,2022-09-09,,,550301.493260038,6140711.2480886,,,15:21:44
5,,,195943_ds,,,,,,,2022-08-30,,9,645442.399564437,6035041.96723564,,,11:29:49
6,,,8300095_us,,,,,,,2022-09-09,,9,563426.037520261,6109612.136155,,,15:47:55
7,,,8301485,,,,,,,2022-09-10,,9,582870.573948695,6130486.15926372,,,10:13:24
8,,,,,,,,,,2022-09-10,,9,583032.59385188,6130377.52638712,,,11:40:52
9,,,8300042_us,,,,,,,2022-09-10,,9,582130.55146982,6135026.94050753,,,12:58:40
10,,,8300042_ds,,,,,,,2022-09-10,,9,582193.311419223,6135015.54033429,,,14:38:38
11,,,4600913_us,,,,,,,2022-09-12,,9,582729.52939037,6073893.1115396,,,11:23:33
12,,,8530_ds_ef2,,,,,,,2022-09-12,,9,582693.266578533,6073705.33876947,,,13:58:20
13,,,8530_ds_ef3,,,,,,,2022-09-12,,9,582692.792427481,6073724.76479641,,,14:39:58
14,,,197653_us2,,,,,,,2022-08-29,,9,665054.837964314,6045021.3106008,,,12:50:07
15,,,195943_us,,,,,,,2022-08-30,,9,645436.6301261,6035069.1865291,,,11:32:40
16,,,195944_us,,,,,,,2022-08-30,,9,646036.686984351,6035713.69699858,,,15:07:54
17,,,198066_us,,,,,,,2022-08-31,,9,640367.397095085,6048463.07941421,,,10:30:31
18,,,58067_ds,,,,,,,2022-09-01,,9,609723.890600537,6092868.04449409,,,12:02:13
19,,,58067_ds_ef1,,,,,,,2022-09-02,,9,609521.9303903,6092942.8552439,,,10:57:00
20,,,8302257_us,,,,,,,2022-09-08,,9,587052.5254923,6138709.57467896,,,13:44:56
21,,,8301994_us,,,,,,,2022-09-09,,9,550306.738961546,6140706.36527874,,,14:52:11
22,,,8300095_ds,,,,,,,2022-09-09,,9,563386.415318971,6109556.92901213,,,17:43:29
23,,,,,,,,,,2022-09-11,,,618826.924621842,6071767.65404803,,,09:17:15
24,,,8530_ds_ef1,,,,,,,2022-09-12,,9,582688.739000016,6073700.1224027,,,12:06:20
25,,,8530_us_ef1,,,,,,,2022-09-13,,9,582795.298262263,6073960.44626038,,,11:39:32
26,,,8530_us_ef3,,,,,,,2022-09-13,,9,582832.107395053,6074021.41253959,,,15:22:36
27,,,197379_ds_ef1,,,,,,,2022-09-15,,9,640952.269151206,6005913.60235783,,,12:48:19
28,,,197379_us_ef1,,,,,,,2022-09-15,,9,641024.507534166,6005981.84052496,,,13:04:29
30,,,58067_ds,,,,,,,2022-09-01,,9,609730.758745296,6092868.95421717,,,12:01:59
31,,,58067_ds_ef1,,,,,,,2022-09-02,,9,609517.533072794,6092939.57411477,,,11:03:07
32,,,58067_ds_ef2,,,,,,,2022-09-02,,9,609535.800027914,6092931.59447513,,,11:47:53
33,,,58067_ds_ef3,,,,,,,2022-09-02,,9,609541.626398867,6092917.47500431,,,12:04:20
34,,,58067_ds_ef4,,,,,,,2022-09-02,,,609532.428630431,6092886.39382677,,,12:54:41
35,,,58067_ds_ef5,,,,,,,2022-09-02,,9,609561.24590789,6092854.46223594,,,13:38:58
36,,,53067_ds_ef6,,,,,,,2022-09-02,,9,609597.348838969,6092858.5584291,,,14:04:41
37,,,58067_US_ef3,,,,,,,2022-09-02,,9,609879.726515275,6092802.91115756,,,15:24:52
38,,,58067_US_ef4,,,,,,,2022-09-02,,9,609889.060360881,6092783.67202115,,,15:49:19
39,,,58067_us_ef5,,,,,,,2022-09-02,,9,609897.252666025,6092772.00249957,,,16:08:56
40,,,8301485_US,,,,,,,2022-09-10,,,582845.685820998,6130495.21870025,,,10:08:31
41,,,,,,,,,,2022-09-12,,9,582717.10864175,6073874.38477961,,,11:27:01
42,,,8530_us_ef2,,,,,,,2022-09-13,,9,582816.310499961,6074015.77228748,,,14:29:31
